epoch,train_loss,val_loss,AccG,F1G,AccL,F1L,kappa,macro_auroc,mean_rare_recall,select,lr,sec
1,1.7177,1.4168,0.5915,0.1516,0.8583,0.0037,0.0763,0.8958,0.0000,0.3564,4.16e-05,1122
2,1.3366,1.2471,0.6792,0.3556,0.9027,0.2747,0.6572,0.9120,0.0423,0.5174,8.32e-05,1134
3,1.2529,1.1578,0.6949,0.3923,0.9146,0.4148,0.7184,0.9261,0.2518,0.5829,1.25e-04,1134
4,1.1968,1.0463,0.7354,0.4644,0.9287,0.5068,0.8256,0.9516,0.4717,0.6440,1.25e-04,1133
5,1.1335,0.9996,0.7519,0.5044,0.9368,0.4988,0.8215,0.9556,0.2981,0.6506,1.23e-04,1133
6,1.0933,0.9485,0.7751,0.5560,0.9412,0.5305,0.8610,0.9604,0.3940,0.6773,1.21e-04,1133
7,1.0451,0.9219,0.7879,0.6151,0.9435,0.5490,0.8768,0.9634,0.5050,0.6923,1.18e-04,1134
8,1.0194,0.9068,0.8028,0.6705,0.9450,0.5479,0.8842,0.9641,0.4519,0.7009,1.15e-04,1133
9,1.0051,0.8890,0.8073,0.6689,0.9457,0.5557,0.8925,0.9666,0.4978,0.7067,1.11e-04,1133
10,0.9955,0.8890,0.8096,0.6705,0.9478,0.5543,0.8947,0.9683,0.4388,0.7075,1.06e-04,1133
11,0.9720,0.8858,0.8028,0.6380,0.9490,0.5562,0.8918,0.9687,0.4638,0.7042,1.00e-04,1134
12,0.9513,0.8699,0.8066,0.6713,0.9496,0.5610,0.8954,0.9691,0.4873,0.7083,9.40e-05,1136
13,0.9465,0.8662,0.8126,0.6790,0.9498,0.5783,0.8980,0.9699,0.5050,0.7189,8.76e-05,1135
14,0.9359,0.8622,0.8156,0.6785,0.9510,0.5963,0.8984,0.9702,0.5410,0.7279,8.08e-05,1134
15,0.9334,0.8604,0.8148,0.6864,0.9514,0.6142,0.8965,0.9708,0.5504,0.7346,7.38e-05,1134
16,0.9073,0.8652,0.8148,0.6814,0.9507,0.5741,0.8933,0.9711,0.5087,0.7186,6.66e-05,1135
17,0.9075,0.8581,0.8141,0.6851,0.9529,0.6135,0.8930,0.9719,0.5197,0.7339,5.94e-05,1135
18,0.9018,0.8680,0.8171,0.6862,0.9523,0.6354,0.8978,0.9715,0.5958,0.7444,5.22e-05,1136
19,0.9011,0.8627,0.8081,0.6745,0.9511,0.6689,0.8997,0.9717,0.6386,0.7524,4.52e-05,1137
20,0.8903,0.8609,0.8178,0.6952,0.9526,0.6491,0.9031,0.9716,0.5921,0.7503,3.85e-05,1136
21,0.8837,0.8585,0.8193,0.6878,0.9515,0.6549,0.9033,0.9719,0.6198,0.7536,3.20e-05,1136
22,0.8766,0.8565,0.8201,0.6933,0.9532,0.6591,0.9034,0.9722,0.6198,0.7557,2.60e-05,1140
23,0.8728,0.8599,0.8156,0.6914,0.9523,0.6617,0.9018,0.9723,0.6339,0.7540,2.05e-05,1137
24,0.8819,0.8571,0.8163,0.6905,0.9530,0.6603,0.9000,0.9725,0.6245,0.7539,1.55e-05,1136
25,0.8789,0.8586,0.8171,0.6930,0.9515,0.6384,0.9001,0.9724,0.5828,0.7456,1.12e-05,1139
26,0.8739,0.8564,0.8178,0.6939,0.9520,0.6571,0.9014,0.9726,0.6151,0.7535,7.60e-06,1140
27,0.8728,0.8562,0.8163,0.6900,0.9526,0.6604,0.9001,0.9727,0.6292,0.7540,4.74e-06,1136
28,0.8674,0.8560,0.8178,0.6924,0.9527,0.6600,0.9015,0.9727,0.6198,0.7547,2.67e-06,1136
29,0.8708,0.8559,0.8186,0.6940,0.9529,0.6600,0.9019,0.9727,0.6245,0.7552,1.42e-06,1136
30,0.8764,0.8557,0.8193,0.6964,0.9531,0.6606,0.9014,0.9727,0.6245,0.7558,1.00e-06,1136
