epoch,train_loss,val_loss,grade_acc,grade_kappa,lesion_f1,lesion_auc,lesion_pr_auc,w_lesion,w_grade,w_supcon_early,w_supcon_deep,s_lesion,s_grade,s_supcon_early,s_supcon_deep
7,0.9473589887759956,0.889532118677692,0.743392599711677,0.9071890960664654,0.7186340697231394,0.9529585007152922,0.7713608739501966,10.042768,0.736659,0.196114,0.207835,-3.0,-0.387517,0.935914,0.877864
8,0.9229377784165256,0.9834709113060082,0.7236905333974051,0.8948819961103629,0.7204847593124849,0.9497331737276252,0.7723675855335623,10.042768,0.751265,0.198033,0.210539,-3.0,-0.40715,0.926177,0.864936
9,0.8981747058353702,0.9085266586681331,0.735223450264296,0.910344669120693,0.7004140240440095,0.9523195952344575,0.7776359573731727,10.042768,0.784492,0.196226,0.209842,-3.0,-0.450428,0.935341,0.868256
10,0.8740130673946704,0.8881458661580304,0.7486785199423354,0.9119201239884236,0.7143791521696832,0.9550625987570341,0.781746280786101,10.042768,0.798287,0.197919,0.209126,-3.0,-0.46786,0.926752,0.871669
11,0.8570985115163102,0.8687289089093353,0.735223450264296,0.9005704359284683,0.7239564856455007,0.9562401016330807,0.806700991612337,10.042768,0.822999,0.198171,0.21098,-3.0,-0.498347,0.92548,0.862847
12,0.839805248622122,1.0197073935545848,0.7116770783277271,0.8921608571062096,0.7124977657251702,0.95251658506288,0.7934783644255469,10.042768,0.838382,0.198571,0.212182,-3.0,-0.516866,0.92346,0.857166
13,0.8823167961204939,0.8614081790503374,0.7506006727534839,0.911290564710461,0.7294252106943946,0.9557112407657904,0.7979335231533896,10.042768,0.793769,0.197957,0.209637,-3.0,-0.462184,0.92656,0.869232
14,0.8732257412414661,0.9001322323630946,0.7260932244113407,0.899562413159017,0.7083609147720678,0.9547245088070284,0.8009020052207889,10.042768,0.793479,0.199699,0.209655,-3.0,-0.461819,0.917796,0.869143
15,0.863490291732042,0.8712980330763729,0.7486785199423354,0.9006300434852206,0.706072092735253,0.9555981225492644,0.8027368591086207,10.042768,0.796171,0.201311,0.212104,-3.0,-0.465205,0.909759,0.85753
16,0.8505878373434462,0.85311743755973,0.7573282075925036,0.9201878848090089,0.7399521559819634,0.9576985289923589,0.8171659489269657,10.042768,0.808539,0.202359,0.209975,-3.0,-0.48062,0.904564,0.867619
17,0.8390252986350168,0.9950086764565229,0.7049495434887073,0.8873550191113279,0.7242380742480765,0.9549972575514406,0.8008670879719435,10.042768,0.838423,0.199444,0.211258,-3.0,-0.516915,0.919072,0.86153
18,0.8301942552724424,0.9099669594537863,0.7462758289283998,0.9086248669668635,0.7626981265064682,0.9569824416853046,0.8216192735134423,10.042768,0.845655,0.19834,0.211058,-3.0,-0.525503,0.924625,0.862476
19,0.8183830688739645,0.8706432410526138,0.7414704469005285,0.9108572280419445,0.7078009720868337,0.9547215990370914,0.8014581977714893,10.042768,0.858827,0.2021,0.211594,-3.0,-0.540959,0.905845,0.859939
20,0.8081083596218209,0.9863801854897554,0.719365689572321,0.8850741483407342,0.6768984766976394,0.9558961625655836,0.8124377560168744,10.042768,0.863585,0.199877,0.213569,-3.0,-0.546484,0.916904,0.850648
21,0.7429084996685563,0.8508637822172723,0.7554060547813551,0.9198475665899075,0.7356428817764377,0.9605085162008725,0.8274191611660431,10.042768,0.911821,0.201357,0.214036,-3.0,-0.600836,0.90953,0.848465
22,0.7250279956864835,0.8801672261732808,0.7501201345506968,0.9139766608018617,0.7495586651081269,0.9589880480843723,0.8273969998604175,10.042768,0.945454,0.202926,0.216105,-3.0,-0.637057,0.901769,0.838845
23,0.7104322429919606,0.8616890178340837,0.7645362806343105,0.9187519354264195,0.7776551624001347,0.9603482933096117,0.8265403175347227,10.042768,0.96718,0.203186,0.216544,-3.0,-0.659776,0.900487,0.836813
24,0.689086688820966,1.034095552436209,0.7251321480057664,0.901866567191492,0.7323972040893781,0.9573734413738266,0.831497230374162,10.042768,0.996401,0.203106,0.216675,-3.0,-0.689541,0.900878,0.836209
