epoch,tau,train_loss,val_loss,val_kappa,val_lesion_auc,val_lesion_f1,rare_recall_NV,rare_recall_VH,rare_recall_RD
1,0.000,2.9159,2.6189,0.8518,0.9271,0.6209,0.9567099567099567,0.9506172839506173,0.8222222222222222
2,0.000,2.6415,2.5350,0.8814,0.9272,0.6637,0.9134199134199135,0.9259259259259259,0.6888888888888889
3,0.000,2.5943,2.5366,0.8785,0.9304,0.6480,0.9047619047619048,0.9465020576131687,0.9333333333333333
4,0.000,2.5272,2.6343,0.8826,0.9282,0.6545,0.8441558441558441,0.9012345679012346,0.9555555555555556
5,0.000,2.4998,2.5007,0.8723,0.9356,0.6926,0.8354978354978355,0.9012345679012346,0.8666666666666667
6,0.000,2.4691,2.5542,0.8709,0.9292,0.6670,0.9004329004329005,0.897119341563786,0.6888888888888889
7,0.067,2.4704,2.4038,0.9048,0.9394,0.6684,0.8961038961038961,0.9423868312757202,1.0
8,0.133,2.4355,2.4104,0.9041,0.9389,0.6702,0.9307359307359307,0.9382716049382716,1.0
9,0.200,2.4513,2.4482,0.8865,0.9372,0.6412,0.922077922077922,0.8806584362139918,0.9777777777777777
10,0.267,2.4714,2.4426,0.9094,0.9412,0.6758,0.9090909090909091,0.897119341563786,0.9333333333333333
11,0.333,2.4194,2.4221,0.9033,0.9416,0.6980,0.8398268398268398,0.8806584362139918,0.8222222222222222
12,0.400,2.3567,2.3686,0.9144,0.9423,0.7011,0.8787878787878788,0.9135802469135802,0.8888888888888888
13,0.467,2.3655,2.4321,0.8968,0.9429,0.6948,0.9134199134199135,0.9094650205761317,0.9333333333333333
14,0.533,2.3298,2.3686,0.9234,0.9434,0.6890,0.922077922077922,0.9012345679012346,0.9333333333333333
15,0.600,2.3478,2.4489,0.8989,0.9412,0.6985,0.8528138528138528,0.8847736625514403,0.9333333333333333
16,0.667,2.2972,2.3854,0.9092,0.9426,0.6814,0.9134199134199135,0.897119341563786,0.9777777777777777
17,0.733,2.2733,2.4641,0.9097,0.9427,0.7088,0.8268398268398268,0.8765432098765432,0.8888888888888888
18,0.800,2.2617,2.4682,0.9053,0.9455,0.7028,0.9004329004329005,0.9135802469135802,0.9111111111111111
