epoch,train_loss,val_loss,mean_rare_recall,macro_f1,grade_qkappa,select,sec
1,4.2280,5.2509,0.8038,0.7125,0.7984,0.7582,76
2,4.0276,4.9538,0.8148,0.7381,0.8521,0.7765,77
3,3.9270,4.9677,0.7844,0.7568,0.8609,0.7706,75
4,3.8418,4.9073,0.8523,0.7512,0.8716,0.8017,75
5,3.7852,4.8949,0.8114,0.7588,0.8683,0.7851,75
6,3.7771,4.9561,0.7222,0.7539,0.8753,0.7381,75
7,3.7207,4.8852,0.8256,0.7605,0.8707,0.7931,75
8,3.6967,5.0000,0.7612,0.7521,0.8539,0.7566,75
9,3.6648,4.8631,0.7855,0.7603,0.8871,0.7729,75
10,3.6111,4.8661,0.8006,0.7626,0.8857,0.7816,75
11,3.6176,5.0514,0.7810,0.7426,0.8626,0.7618,75
12,3.5839,4.8530,0.7415,0.7594,0.8817,0.7505,75
