epoch,train_loss,val_loss,mean_rare_recall,macro_f1,grade_qkappa,select,sec
1,4.5206,5.1021,0.7922,0.7031,0.8176,0.7476,451
2,4.3299,5.0868,0.7268,0.7151,0.8170,0.7210,516
3,4.2789,4.9067,0.7920,0.7359,0.8876,0.7640,77
4,4.2204,4.9566,0.7810,0.7258,0.8618,0.7534,77
5,4.1962,4.8673,0.7675,0.7314,0.8753,0.7495,77
6,4.1574,4.8407,0.8077,0.7414,0.8960,0.7745,76
7,4.1232,4.8409,0.8681,0.7326,0.8877,0.8004,78
8,4.0841,4.8456,0.8010,0.7223,0.8897,0.7617,77
9,4.0751,4.8410,0.7803,0.7224,0.8913,0.7514,77
10,4.0383,4.8426,0.7658,0.7325,0.8780,0.7491,77
11,3.9471,4.8189,0.8811,0.7368,0.8935,0.8089,77
12,3.9158,4.8229,0.8277,0.7337,0.8995,0.7807,77
13,3.8835,4.8385,0.7471,0.7283,0.8978,0.7377,78
14,3.8473,4.8573,0.8475,0.7419,0.8943,0.7947,77
15,3.8260,4.8263,0.8032,0.7433,0.8981,0.7732,77
16,3.7516,4.8987,0.8181,0.7451,0.8917,0.7816,77
17,3.7219,4.8822,0.8092,0.7407,0.8961,0.7749,77
18,3.6997,4.9132,0.8059,0.7468,0.8983,0.7764,77
19,3.6695,4.9387,0.8162,0.7407,0.8947,0.7784,77
