epoch,train_loss,val_loss,mean_rare_recall,macro_f1,grade_qkappa,select,sec
1,4.2904,4.9765,0.8561,0.7070,0.8512,0.7815,92
2,4.0721,5.0555,0.7971,0.7151,0.8518,0.7561,95
3,4.0008,4.9284,0.7829,0.7179,0.8667,0.7504,94
4,3.9548,4.9146,0.7638,0.7243,0.8713,0.7441,93
5,3.9338,4.8597,0.8620,0.7262,0.8844,0.7941,92
6,3.8790,4.8419,0.8793,0.7298,0.8819,0.8045,92
7,3.8683,4.8591,0.8353,0.7292,0.8821,0.7823,92
8,3.8440,4.8698,0.8534,0.7367,0.8907,0.7950,92
9,3.8115,4.9022,0.8890,0.7267,0.8617,0.8079,92
10,3.7902,4.8297,0.8093,0.7375,0.8812,0.7734,92
11,3.7651,4.8977,0.8354,0.7462,0.8833,0.7908,92
12,3.7678,4.9138,0.8257,0.7398,0.8806,0.7827,93
13,3.7275,4.9214,0.8625,0.7410,0.8896,0.8018,91
14,3.7148,4.8357,0.8702,0.7430,0.8834,0.8066,91
15,3.6285,4.8573,0.8337,0.7456,0.8950,0.7897,91
16,3.5947,4.8048,0.8705,0.7385,0.8926,0.8045,91
17,3.5785,4.8091,0.8342,0.7550,0.9026,0.7946,92
